Entity,Year,under5_mortality_per_1000,under5_mortality_percent
South Korea,1876,503.36,50.336
South Korea,1877,503.36,50.336
South Korea,1878,503.36,50.336
South Korea,1879,503.36,50.336
South Korea,1880,503.36,50.336
South Korea,1881,503.36,50.336
South Korea,1882,503.36,50.336
South Korea,1883,503.36,50.336
South Korea,1884,503.36,50.336
South Korea,1885,503.36,50.336
South Korea,1886,503.36,50.336
South Korea,1887,503.36,50.336
South Korea,1888,503.36,50.336
South Korea,1889,503.36,50.336
South Korea,1890,503.36,50.336
South Korea,1891,503.36,50.336
South Korea,1892,503.36,50.336
South Korea,1893,503.36,50.336
South Korea,1894,503.35,50.335
South Korea,1895,503.31,50.331
South Korea,1896,503.23,50.323
South Korea,1897,503.1,50.31
South Korea,1898,502.9,50.29
South Korea,1899,502.63,50.263
South Korea,1900,502.27,50.227
South Korea,1901,501.84,50.184
South Korea,1902,501.33,50.132999999999996
South Korea,1903,500.74,50.074
South Korea,1904,507.55,50.755
South Korea,1905,512.81,51.28099999999999
South Korea,1906,519.62,51.962
South Korea,1907,524.79,52.479
South Korea,1908,531.61,53.161
South Korea,1909,525.78,52.577999999999996
South Korea,1910,519.97,51.997
South Korea,1911,514.22,51.422000000000004
South Korea,1912,508.46,50.846
South Korea,1913,502.72,50.272000000000006
South Korea,1914,495.64,49.564
South Korea,1915,488.6,48.86
South Korea,1916,481.66,48.166000000000004
South Korea,1917,474.82,47.482
South Korea,1918,468.01,46.801
South Korea,1919,460.0,46.0
South Korea,1920,452.02,45.202
South Korea,1921,444.23,44.423
South Korea,1922,436.48,43.648
South Korea,1923,428.93,42.893
South Korea,1924,417.6,41.760000000000005
South Korea,1925,405.27,40.527
South Korea,1926,394.42,39.442
South Korea,1927,383.83,38.382999999999996
South Korea,1928,373.43,37.343
South Korea,1929,363.24,36.324
South Korea,1930,354.35,35.435
South Korea,1931,344.52,34.452
South Korea,1932,335.98,33.598
South Korea,1933,326.5,32.65
South Korea,1934,315.1,31.51
South Korea,1935,302.92,30.292
South Korea,1936,292.04,29.204
South Korea,1937,281.39,28.139
South Korea,1938,270.02,27.002
South Korea,1939,263.61,26.361
South Korea,1940,258.24,25.824
South Korea,1950,348.6,34.86
South Korea,1951,303.7,30.369999999999997
South Korea,1952,264.3,26.43
South Korea,1953,230.2,23.02
South Korea,1954,201.5,20.15
South Korea,1955,178.0,17.8
South Korea,1956,158.8,15.88
South Korea,1957,143.5,14.35
South Korea,1958,131.2,13.12
South Korea,1959,121.5,12.15
South Korea,1960,113.6,11.36
South Korea,1961,106.8,10.68
South Korea,1962,100.7,10.07
South Korea,1963,95.0,9.5
South Korea,1964,89.2,8.92
South Korea,1965,83.3,8.33
South Korea,1966,77.3,7.7299999999999995
South Korea,1967,71.2,7.12
South Korea,1968,64.9,6.49
South Korea,1969,58.6,5.86
South Korea,1970,52.4,5.24
South Korea,1971,46.4,4.64
South Korea,1972,40.8,4.08
South Korea,1973,35.6,3.56
South Korea,1974,31.0,3.1
South Korea,1975,26.9,2.69
South Korea,1976,23.4,2.34
South Korea,1977,20.4,2.04
South Korea,1978,17.9,1.7899999999999998
South Korea,1979,15.9,1.59
South Korea,1980,14.4,1.44
South Korea,1981,13.1,1.31
South Korea,1982,12.2,1.22
South Korea,1983,11.4,1.1400000000000001
South Korea,1984,10.6,1.06
South Korea,1985,9.9,0.99
South Korea,1986,9.3,0.93
South Korea,1987,8.6,0.86
South Korea,1988,8.0,0.8
South Korea,1989,7.6,0.76
South Korea,1990,7.1,0.71
South Korea,1991,6.8,0.6799999999999999
South Korea,1992,6.4,0.64
South Korea,1993,6.1,0.61
South Korea,1994,5.8,0.58
South Korea,1995,5.5,0.55
South Korea,1996,5.3,0.53
South Korea,1997,5.3,0.53
South Korea,1998,5.4,0.54
South Korea,1999,5.7,0.5700000000000001
South Korea,2000,6.1,0.61
South Korea,2001,6.4,0.64
South Korea,2002,6.5,0.65
South Korea,2003,6.4,0.64
South Korea,2004,6.0,0.6
South Korea,2005,5.6,0.5599999999999999
South Korea,2006,5.2,0.52
South Korea,2007,4.8,0.48
South Korea,2008,4.5,0.45
South Korea,2009,4.3,0.43
South Korea,2010,4.1,0.41
South Korea,2011,4.0,0.4
South Korea,2012,3.9,0.39
South Korea,2013,3.7,0.37
Sweden,1761,315.61,31.561
Sweden,1762,376.98,37.698
Sweden,1763,395.31,39.531
Sweden,1764,316.08,31.607999999999997
Sweden,1765,316.03,31.602999999999998
Sweden,1766,311.9,31.189999999999998
Sweden,1767,298.52,29.851999999999997
Sweden,1768,357.49,35.749
Sweden,1769,358.49,35.849000000000004
Sweden,1770,325.43,32.543
Sweden,1771,323.35,32.335
Sweden,1772,366.57,36.657
Sweden,1773,489.7,48.97
Sweden,1774,279.57,27.957
Sweden,1775,305.87,30.587
Sweden,1776,256.2,25.619999999999997
Sweden,1777,302.06,30.206
Sweden,1778,353.23,35.323
Sweden,1779,394.25,39.425
Sweden,1780,261.1,26.110000000000003
Sweden,1781,300.41,30.041000000000004
Sweden,1782,300.98,30.098000000000003
Sweden,1783,344.56,34.456
Sweden,1784,382.21,38.221
Sweden,1785,344.64,34.464
